actuallyadditions:advanced_coil	Advanced Coil
regions_unexplored:dead_button	Dead Button
regions_unexplored:dead_chest_boat	Dead Boat with Chest
regions_unexplored:dead_door	Dead Door
regions_unexplored:dead_fence	Dead Fence
regions_unexplored:dead_fence_gate	Dead Fence Gate
regions_unexplored:dead_hanging_sign	Dead Hanging Sign
regions_unexplored:dead_leaves	Dead Leaves
regions_unexplored:dead_log	Dead Log
regions_unexplored:dead_pine_leaves	Dead Pine Leaves
regions_unexplored:dead_pine_sapling	Dead Pine Sapling
regions_unexplored:dead_pine_shrub	Dead Pine Shrub
regions_unexplored:dead_planks	Dead Planks
regions_unexplored:dead_pressure_plate	Dead Pressure Plate
regions_unexplored:dead_sapling	Dead Sapling
regions_unexplored:dead_shrub	Dead Shrub
regions_unexplored:dead_sign	Dead Sign
regions_unexplored:dead_slab	Dead Slab
regions_unexplored:dead_stairs	Dead Stairs
regions_unexplored:dead_steppe_shrub	Dead Steppe Shrub
regions_unexplored:dead_trapdoor	Dead Trapdoor
regions_unexplored:dead_wood	Dead Wood
regions_unexplored:deepslate_grass_block	Deepslate Grass Block
regions_unexplored:deepslate_prismoss	Deepslate Prismoss
regions_unexplored:deepslate_viridescent_nylium	Deepslate Viridescent Nylium
regions_unexplored:dorcel	Dorcel
regions_unexplored:dropleaf	Dropleaf
regions_unexplored:dropleaf_plant	Dropleaf
regions_unexplored:duckweed	Duckweed
regions_unexplored:duskmelon	Duskmelon Slice
regions_unexplored:dusktrap	Dusktrap
regions_unexplored:elephant_ear	Elephant Ear
regions_unexplored:enchanted_birch_leaf_litter	Enchanted Birch Leaf Litter
regions_unexplored:eucalyptus_boat	Eucalyptus Boat
regions_unexplored:eucalyptus_branch	Eucalyptus Branch
regions_unexplored:eucalyptus_button	Eucalyptus Button
regions_unexplored:eucalyptus_chest_boat	Eucalyptus Boat with Chest
regions_unexplored:eucalyptus_door	Eucalyptus Door
regions_unexplored:eucalyptus_fence	Eucalyptus Fence
regions_unexplored:eucalyptus_fence_gate	Eucalyptus Fence Gate
regions_unexplored:eucalyptus_hanging_sign	Eucalyptus Hanging Sign
regions_unexplored:eucalyptus_leaves	Eucalyptus Leaves
regions_unexplored:eucalyptus_log	Eucalyptus Log
regions_unexplored:eucalyptus_planks	Eucalyptus Planks
regions_unexplored:eucalyptus_pressure_plate	Eucalyptus Pressure Plate
regions_unexplored:eucalyptus_sapling	Eucalyptus Sapling
regions_unexplored:eucalyptus_shrub	Eucalyptus Shrub
regions_unexplored:eucalyptus_sign	Eucalyptus Sign
regions_unexplored:eucalyptus_slab	Eucalyptus Slab
regions_unexplored:eucalyptus_stairs	Eucalyptus Stairs
regions_unexplored:eucalyptus_trapdoor	Eucalyptus Trapdoor
regions_unexplored:eucalyptus_wood	Eucalyptus Wood
regions_unexplored:felicia_daisy	Felicia Daisy
regions_unexplored:fireweed	Fireweed
regions_unexplored:flowering_leaves	Flowering Leaves
regions_unexplored:flowering_lily_pad	Flowering Lily Pad
regions_unexplored:flowering_sapling	Flowering Sapling
regions_unexplored:flowering_shrub	Flowering Shrub
regions_unexplored:frozen_grass	Frozen Grass
regions_unexplored:giant_lily_pad	Giant Lily Pad
regions_unexplored:glister_bulb	Glister Bulb
regions_unexplored:glister_spire	Glister Spire
regions_unexplored:glistering_bloom	Glistering Bloom
regions_unexplored:glistering_fern	Glistering Fern
regions_unexplored:glistering_ivy	Glistering Ivy
regions_unexplored:glistering_ivy_plant	Glistering Ivy
regions_unexplored:glistering_nylium	Glistering Nylium
regions_unexplored:glistering_sprout	Glistering Sprout
regions_unexplored:glistering_wart	Glistering Wart
regions_unexplored:glowing_blue_bioshroom_block	Glowing Blue Bioshroom Block
regions_unexplored:glowing_green_bioshroom_block	Glowing Green Bioshroom Block
regions_unexplored:glowing_pink_bioshroom_block	Glowing Pink Bioshroom Block
regions_unexplored:glowing_yellow_bioshroom_block	Glowing Yellow Bioshroom Block
regions_unexplored:golden_larch_leaves	Golden Larch Leaves
regions_unexplored:golden_larch_sapling	Golden Larch Sapling
regions_unexplored:golden_larch_shrub	Golden Larch Shrub
regions_unexplored:grass_sprouts	Grass Sprouts
regions_unexplored:gray_painted_planks	Gray Painted Planks
regions_unexplored:gray_painted_slab	Gray Painted Slab
regions_unexplored:gray_painted_stairs	Gray Painted Stairs
regions_unexplored:gray_snowbelle	Gray Snowbelle
regions_unexplored:green_bioshroom	Green Bioshroom
regions_unexplored:green_bioshroom_block	Green Bioshroom Block
regions_unexplored:green_bioshroom_button	Green Bioshroom Button
regions_unexplored:green_bioshroom_door	Green Bioshroom Door
regions_unexplored:green_bioshroom_fence	Green Bioshroom Fence
regions_unexplored:green_bioshroom_fence_gate	Green Bioshroom Fence Gate
regions_unexplored:green_bioshroom_hanging_sign	Green Bioshroom Hanging Sign
regions_unexplored:green_bioshroom_hyphae	Green Bioshroom Hyphae
regions_unexplored:green_bioshroom_planks	Green Bioshroom Planks
regions_unexplored:green_bioshroom_pressure_plate	Green Bioshroom Pressure Plate
regions_unexplored:green_bioshroom_sign	Green Bioshroom Sign
regions_unexplored:green_bioshroom_slab	Green Bioshroom Slab
regions_unexplored:green_bioshroom_stairs	Green Bioshroom Stairs
regions_unexplored:green_bioshroom_stem	Green Bioshroom Stem
regions_unexplored:green_bioshroom_trapdoor	Green Bioshroom Trapdoor
regions_unexplored:green_painted_planks	Green Painted Planks
regions_unexplored:green_painted_slab	Green Painted Slab
regions_unexplored:green_painted_stairs	Green Painted Stairs
regions_unexplored:green_snowbelle	Green Snowbelle
regions_unexplored:hanging_earlight	Hanging Earlight Fruit
regions_unexplored:hanging_prismarite	Hanging Prismarite
regions_unexplored:hibiscus	Hibiscus
regions_unexplored:hyacinth_bloom	Hyacinth Bloom
regions_unexplored:hyacinth_flowers	Hyacinth Flowers
regions_unexplored:hyacinth_lamp	Hyacinth Lamp
regions_unexplored:hyssop	Hyssop
regions_unexplored:icicle	Icicle
regions_unexplored:iridescent_ring	Iridescent Ring
regions_unexplored:joshua_beard	Joshua Beard
regions_unexplored:joshua_boat	Joshua Boat
regions_unexplored:joshua_button	Joshua Button
regions_unexplored:joshua_chest_boat	Joshua Boat with Chest
regions_unexplored:joshua_door	Joshua Door
regions_unexplored:joshua_fence	Joshua Fence
regions_unexplored:joshua_fence_gate	Joshua Fence Gate
regions_unexplored:joshua_hanging_sign	Joshua Hanging Sign
regions_unexplored:joshua_leaves	Joshua Leaves
regions_unexplored:joshua_log	Joshua Log
regions_unexplored:joshua_planks	Joshua Planks
regions_unexplored:joshua_pressure_plate	Joshua Pressure Plate
regions_unexplored:joshua_sapling	Joshua Sapling
regions_unexplored:joshua_shrub	Joshua Shrub
regions_unexplored:joshua_sign	Joshua Sign
regions_unexplored:joshua_slab	Joshua Slab
regions_unexplored:joshua_stairs	Joshua Stairs
regions_unexplored:joshua_trapdoor	Joshua Trapdoor
regions_unexplored:joshua_wood	Joshua Wood
regions_unexplored:jungle_branch	Jungle Branch
regions_unexplored:jungle_shrub	Jungle Shrub
regions_unexplored:kapok_boat	Kapok Boat
regions_unexplored:kapok_branch	Kapok Branch
regions_unexplored:kapok_button	Kapok Button
regions_unexplored:kapok_chest_boat	Kapok Boat with Chest
regions_unexplored:kapok_door	Kapok Door
regions_unexplored:kapok_fence	Kapok Fence
regions_unexplored:kapok_fence_gate	Kapok Fence Gate
regions_unexplored:kapok_hanging_sign	Kapok Hanging Sign
regions_unexplored:kapok_leaves	Kapok Leaves
regions_unexplored:kapok_log	Kapok Log
regions_unexplored:kapok_planks	Kapok Planks
regions_unexplored:kapok_pressure_plate	Kapok Pressure Plate
regions_unexplored:kapok_sapling	Kapok Sapling
regions_unexplored:kapok_shrub	Kapok Shrub
regions_unexplored:kapok_sign	Kapok Sign
regions_unexplored:kapok_slab	Kapok Slab
regions_unexplored:kapok_stairs	Kapok Stairs
regions_unexplored:kapok_trapdoor	Kapok Trapdoor
regions_unexplored:kapok_vines	Kapok Vines
regions_unexplored:kapok_vines_plant	Kapok Vines
regions_unexplored:kapok_wood	Kapok Wood
regions_unexplored:larch_boat	Larch Boat
regions_unexplored:larch_branch	Larch Branch
regions_unexplored:larch_button	Larch Button
regions_unexplored:larch_chest_boat	Larch Boat with Chest
regions_unexplored:larch_door	Larch Door
regions_unexplored:larch_fence	Larch Fence
regions_unexplored:larch_fence_gate	Larch Fence Gate
regions_unexplored:larch_hanging_sign	Larch Hanging Sign
regions_unexplored:larch_leaves	Larch Leaves
regions_unexplored:larch_log	Larch Log
regions_unexplored:larch_planks	Larch Planks
regions_unexplored:larch_pressure_plate	Larch Pressure Plate
regions_unexplored:larch_sapling	Larch Sapling
regions_unexplored:larch_shrub	Larch Shrub
regions_unexplored:larch_sign	Larch Sign
regions_unexplored:larch_slab	Larch Slab
regions_unexplored:larch_stairs	Larch Stairs
regions_unexplored:larch_trapdoor	Larch Trapdoor
regions_unexplored:larch_wood	Larch Wood
regions_unexplored:large_prismarite_cluster	Large Prismarite Cluster
regions_unexplored:lavender_wisteria_leaves	Lavender Wisteria Leaves
regions_unexplored:lavender_wisteria_sapling	Lavender Wisteria Sapling
regions_unexplored:lavender_wisteria_shrub	Lavender Wisteria Shrub
regions_unexplored:lavender_wisteria_vines	Lavender Wisteria Vines
regions_unexplored:light_blue_painted_planks	Light Blue Painted Planks
regions_unexplored:light_blue_painted_slab	Light Blue Painted Slab
regions_unexplored:light_blue_painted_stairs	Light Blue Painted Stairs
regions_unexplored:light_blue_snowbelle	Light Blue Snowbelle
regions_unexplored:light_gray_painted_planks	Light Gray Painted Planks
regions_unexplored:light_gray_painted_slab	Light Gray Painted Slab
regions_unexplored:light_gray_painted_stairs	Light Gray Painted Stairs
regions_unexplored:light_gray_snowbelle	Light Gray Snowbelle
regions_unexplored:lime_painted_planks	Lime Painted Planks
regions_unexplored:lime_painted_slab	Lime Painted Slab
regions_unexplored:lime_painted_stairs	Lime Painted Stairs
regions_unexplored:lime_snowbelle	Lime Snowbelle
regions_unexplored:magenta_painted_planks	Magenta Painted Planks
regions_unexplored:magenta_painted_slab	Magenta Painted Slab
regions_unexplored:magenta_painted_stairs	Magenta Painted Stairs
regions_unexplored:magenta_snowbelle	Magenta Snowbelle
regions_unexplored:magnolia_boat	Magnolia Boat
regions_unexplored:magnolia_branch	Magnolia Branch
regions_unexplored:magnolia_button	Magnolia Button
regions_unexplored:magnolia_chest_boat	Magnolia Boat with Chest
regions_unexplored:magnolia_door	Magnolia Door
regions_unexplored:magnolia_fence	Magnolia Fence
regions_unexplored:magnolia_fence_gate	Magnolia Fence Gate
regions_unexplored:magnolia_hanging_sign	Magnolia Hanging Sign
regions_unexplored:magnolia_leaves	Magnolia Leaves
regions_unexplored:magnolia_log	Magnolia Log
regions_unexplored:magnolia_planks	Magnolia Planks
regions_unexplored:magnolia_pressure_plate	Magnolia Pressure Plate
regions_unexplored:magnolia_sapling	Magnolia Sapling
regions_unexplored:magnolia_shrub	Magnolia Shrub
regions_unexplored:magnolia_sign	Magnolia Sign
regions_unexplored:magnolia_slab	Magnolia Slab
regions_unexplored:magnolia_stairs	Magnolia Stairs
regions_unexplored:magnolia_trapdoor	Magnolia Trapdoor
regions_unexplored:magnolia_wood	Magnolia Wood
regions_unexplored:mallow	Mallow
regions_unexplored:mangrove_branch	Mangrove Branch
regions_unexplored:mangrove_shrub	Mangrove Shrub
regions_unexplored:maple_boat	Maple Boat
regions_unexplored:maple_branch	Maple Branch
regions_unexplored:maple_button	Maple Button
regions_unexplored:maple_chest_boat	Maple Boat with Chest
regions_unexplored:maple_door	Maple Door
regions_unexplored:maple_fence	Maple Fence
regions_unexplored:maple_fence_gate	Maple Fence Gate
regions_unexplored:maple_hanging_sign	Maple Hanging Sign
regions_unexplored:maple_leaf_litter	Maple Leaf Litter
regions_unexplored:maple_leaves	Maple Leaves
regions_unexplored:maple_log	Maple Log
regions_unexplored:maple_planks	Maple Planks
regions_unexplored:maple_pressure_plate	Maple Pressure Plate
regions_unexplored:maple_sapling	Maple Sapling
regions_unexplored:maple_shrub	Maple Shrub
regions_unexplored:maple_sign	Maple Sign
regions_unexplored:maple_slab	Maple Slab
regions_unexplored:maple_stairs	Maple Stairs
regions_unexplored:maple_trapdoor	Maple Trapdoor
regions_unexplored:maple_wood	Maple Wood
regions_unexplored:meadow_sage	Meadow Sage
regions_unexplored:mossy_stone	Mossy Stone
regions_unexplored:mycotoxic_daisy	Mycotoxic Daisy
regions_unexplored:mycotoxic_grass	Mycotoxic Grass
regions_unexplored:mycotoxic_moss	Mycotoxic Moss
regions_unexplored:mycotoxic_mushrooms	Mycotoxic Mushrooms
regions_unexplored:oak_branch	Oak Branch
regions_unexplored:oak_shrub	Oak Shrub
regions_unexplored:orange_coneflower	Orange Coneflower
regions_unexplored:orange_maple_leaf_litter	Orange Maple Leaf Litter
regions_unexplored:orange_maple_leaves	Orange Maple Leaves
regions_unexplored:orange_maple_sapling	Orange Maple Sapling
regions_unexplored:orange_maple_shrub	Orange Maple Shrub
regions_unexplored:orange_painted_planks	Orange Painted Planks
regions_unexplored:orange_painted_slab	Orange Painted Slab
regions_unexplored:orange_painted_stairs	Orange Painted Stairs
regions_unexplored:orange_snowbelle	Orange Snowbelle
regions_unexplored:overgrown_bone_block	Overgrown Bone Block
regions_unexplored:palm_beard	Palm Beard
regions_unexplored:palm_boat	Palm Boat
regions_unexplored:palm_button	Palm Button
regions_unexplored:palm_chest_boat	Palm Boat with Chest
regions_unexplored:palm_door	Palm Door
regions_unexplored:palm_fence	Palm Fence
regions_unexplored:palm_fence_gate	Palm Fence Gate
regions_unexplored:palm_hanging_sign	Palm Hanging Sign
regions_unexplored:palm_leaves	Palm Leaves
regions_unexplored:palm_log	Palm Log
regions_unexplored:palm_planks	Palm Planks
regions_unexplored:palm_pressure_plate	Palm Pressure Plate
regions_unexplored:palm_sapling	Palm Sapling
regions_unexplored:palm_shrub	Palm Shrub
regions_unexplored:palm_sign	Palm Sign
regions_unexplored:palm_slab	Palm Slab
regions_unexplored:palm_stairs	Palm Stairs
regions_unexplored:palm_trapdoor	Palm Trapdoor
regions_unexplored:palm_wood	Palm Wood
regions_unexplored:peat_coarse_dirt	Peat Coarse Dirt
regions_unexplored:peat_dirt	Peat Dirt
regions_unexplored:peat_dirt_path	Peat Dirt Path
regions_unexplored:peat_farmland	Peat Farmland
regions_unexplored:peat_grass_block	Peat Grass Block
regions_unexplored:peat_mud	Peat Mud
regions_unexplored:peat_podzol	Peat Podzol
regions_unexplored:pine_boat	Pine Boat
regions_unexplored:pine_branch	Pine Branch
regions_unexplored:pine_button	Pine Button
regions_unexplored:pine_chest_boat	Pine Boat with Chest
regions_unexplored:pine_door	Pine Door
regions_unexplored:pine_fence	Pine Fence
regions_unexplored:pine_fence_gate	Pine Fence Gate
regions_unexplored:pine_hanging_sign	Pine Hanging Sign
regions_unexplored:pine_leaves	Pine Leaves
regions_unexplored:pine_log	Pine Log
regions_unexplored:pine_planks	Pine Planks
regions_unexplored:pine_pressure_plate	Pine Pressure Plate
regions_unexplored:pine_sapling	Pine Sapling
regions_unexplored:pine_shrub	Pine Shrub
regions_unexplored:pine_sign	Pine Sign
regions_unexplored:pine_slab	Pine Slab
regions_unexplored:pine_stairs	Pine Stairs
regions_unexplored:pine_trapdoor	Pine Trapdoor
regions_unexplored:pine_wood	Pine Wood
regions_unexplored:pink_bioshroom	Pink Bioshroom
regions_unexplored:pink_bioshroom_block	Pink Bioshroom Block
regions_unexplored:pink_bioshroom_button	Pink Bioshroom Button
regions_unexplored:pink_bioshroom_door	Pink Bioshroom Door
regions_unexplored:pink_bioshroom_fence	Pink Bioshroom Fence
regions_unexplored:pink_bioshroom_fence_gate	Pink Bioshroom Fence Gate
regions_unexplored:pink_bioshroom_hanging_sign	Pink Bioshroom Hanging Sign
regions_unexplored:pink_bioshroom_hyphae	Pink Bioshroom Hyphae
regions_unexplored:pink_bioshroom_planks	Pink Bioshroom Planks
regions_unexplored:pink_bioshroom_pressure_plate	Pink Bioshroom Pressure Plate
regions_unexplored:pink_bioshroom_sign	Pink Bioshroom Sign
regions_unexplored:pink_bioshroom_slab	Pink Bioshroom Slab
regions_unexplored:pink_bioshroom_stairs	Pink Bioshroom Stairs
regions_unexplored:pink_bioshroom_stem	Pink Bioshroom Stem
regions_unexplored:pink_bioshroom_trapdoor	Pink Bioshroom Trapdoor
regions_unexplored:pink_lupine	Pink Lupine
regions_unexplored:pink_magnolia_flowers	Pink Magnolia Flowers
regions_unexplored:pink_magnolia_leaves	Pink Magnolia Leaves
regions_unexplored:pink_magnolia_sapling	Pink Magnolia Sapling
regions_unexplored:pink_magnolia_shrub	Pink Magnolia Shrub
regions_unexplored:pink_painted_planks	Pink Painted Planks
regions_unexplored:pink_painted_slab	Pink Painted Slab
regions_unexplored:pink_painted_stairs	Pink Painted Stairs
regions_unexplored:pink_snowbelle	Pink Snowbelle
regions_unexplored:pointed_redstone	Pointed Redstone
regions_unexplored:polished_chalk	Polished Chalk
regions_unexplored:polished_chalk_slab	Polished Chalk Slab
regions_unexplored:polished_chalk_stairs	Polished Chalk Stairs
regions_unexplored:poppy_bush	Poppy Bush
regions_unexplored:prismaglass	Prismaglass
regions_unexplored:prismarite_cluster	Prismarite Cluster
regions_unexplored:prismoss	Prismoss
regions_unexplored:prismoss_sprout	Prismoss Sprout
regions_unexplored:purple_coneflower	Purple Coneflower
regions_unexplored:purple_lupine	Purple Lupine
regions_unexplored:purple_painted_planks	Purple Painted Planks
regions_unexplored:purple_painted_slab	Purple Painted Slab
regions_unexplored:purple_painted_stairs	Purple Painted Stairs
regions_unexplored:purple_snowbelle	Purple Snowbelle
regions_unexplored:raw_redstone_block	Raw Redstone Block
regions_unexplored:red_lupine	Red Lupine
regions_unexplored:red_maple_leaf_litter	Red Maple Leaf Litter
regions_unexplored:red_maple_leaves	Red Maple Leaves
regions_unexplored:red_maple_sapling	Red Maple Sapling
regions_unexplored:red_maple_shrub	Red Maple Shrub
regions_unexplored:red_painted_planks	Red Painted Planks
regions_unexplored:red_painted_slab	Red Painted Slab
regions_unexplored:red_painted_stairs	Red Painted Stairs
regions_unexplored:red_snowbelle	Red Snowbelle
regions_unexplored:redstone_bud	Redstone Bud
regions_unexplored:redstone_bulb	Redstone Bulb
regions_unexplored:redwood_boat	Redwood Boat
regions_unexplored:redwood_branch	Redwood Branch
regions_unexplored:redwood_button	Redwood Button
regions_unexplored:redwood_chest_boat	Redwood Boat with Chest
regions_unexplored:redwood_door	Redwood Door
regions_unexplored:redwood_fence	Redwood Fence
regions_unexplored:redwood_fence_gate	Redwood Fence Gate
regions_unexplored:redwood_hanging_sign	Redwood Hanging Sign
regions_unexplored:redwood_leaves	Redwood Leaves
regions_unexplored:redwood_log	Redwood Log
regions_unexplored:redwood_planks	Redwood Planks
regions_unexplored:redwood_pressure_plate	Redwood Pressure Plate
regions_unexplored:redwood_sapling	Redwood Sapling
regions_unexplored:redwood_shrub	Redwood Shrub
regions_unexplored:redwood_sign	Redwood Sign
regions_unexplored:redwood_slab	Redwood Slab
regions_unexplored:redwood_stairs	Redwood Stairs
regions_unexplored:redwood_trapdoor	Redwood Trapdoor
regions_unexplored:redwood_wood	Redwood Wood
regions_unexplored:saguaro_cactus	Saguaro Cactus
regions_unexplored:saguaro_cactus_flower	Saguaro Cactus Flower
regions_unexplored:salmon_poppy	Salmon Poppy
regions_unexplored:salmon_poppy_bush	Salmon Poppy Bush
regions_unexplored:salmon_wisteria_leaves	Salmon Wisteria Leaves
regions_unexplored:salmon_wisteria_sapling	Salmon Wisteria Sapling
regions_unexplored:salmon_wisteria_shrub	Salmon Wisteria Shrub
regions_unexplored:salmon_wisteria_vines	Salmon Wisteria Vines
regions_unexplored:salmonberry_bush	Salmonberry
regions_unexplored:sandy_grass	Sandy Grass
regions_unexplored:sandy_tall_grass	Sandy Tall Grass
regions_unexplored:silt_coarse_dirt	Silt Coarse Dirt
regions_unexplored:silt_dirt	Silt Dirt
regions_unexplored:silt_dirt_path	Silt Dirt Path
regions_unexplored:silt_farmland	Silt Farmland
regions_unexplored:silt_grass_block	Silt Grass Block
regions_unexplored:silt_mud	Silt Mud
regions_unexplored:silt_podzol	Silt Podzol
regions_unexplored:silver_birch_branch	Silver Birch Branch
regions_unexplored:silver_birch_leaf_litter	Silver Birch Leaf Litter
regions_unexplored:silver_birch_leaves	Silver Birch Leaves
regions_unexplored:silver_birch_log	Silver Birch Log
regions_unexplored:silver_birch_sapling	Silver Birch Sapling
regions_unexplored:silver_birch_shrub	Silver Birch Shrub
regions_unexplored:silver_birch_wood	Silver Birch Wood
regions_unexplored:sky_wisteria_leaves	Sky Wisteria Leaves
regions_unexplored:sky_wisteria_sapling	Sky Wisteria Sapling
regions_unexplored:sky_wisteria_shrub	Sky Wisteria Shrub
regions_unexplored:sky_wisteria_vines	Sky Wisteria Vines
regions_unexplored:small_desert_shrub	Small Desert Shrub
regions_unexplored:small_oak_leaves	Small Oak Leaves
regions_unexplored:small_oak_log	Small Oak Log
regions_unexplored:small_oak_sapling	Small Oak Sapling
regions_unexplored:socotra_boat	Socotra Boat
regions_unexplored:socotra_branch	Socotra Branch
regions_unexplored:socotra_button	Socotra Button
regions_unexplored:socotra_chest_boat	Socotra Boat with Chest
regions_unexplored:socotra_door	Socotra Door
regions_unexplored:socotra_fence	Socotra Fence
regions_unexplored:socotra_fence_gate	Socotra Fence Gate
regions_unexplored:socotra_hanging_sign	Socotra Hanging Sign
regions_unexplored:socotra_leaves	Socotra Leaves
regions_unexplored:socotra_log	Socotra Log
regions_unexplored:socotra_planks	Socotra Planks
regions_unexplored:socotra_pressure_plate	Socotra Pressure Plate
regions_unexplored:socotra_sapling	Socotra Sapling
regions_unexplored:socotra_shrub	Socotra Shrub
regions_unexplored:socotra_sign	Socotra Sign
regions_unexplored:socotra_slab	Socotra Slab
regions_unexplored:socotra_stairs	Socotra Stairs
regions_unexplored:socotra_trapdoor	Socotra Trapdoor
regions_unexplored:socotra_wood	Socotra Wood
regions_unexplored:spanish_moss	Spanish Moss
regions_unexplored:spanish_moss_plant	Spanish Moss
regions_unexplored:spruce_branch	Spruce Branch
regions_unexplored:spruce_shrub	Spruce Shrub
regions_unexplored:steppe_grass	Steppe Grass
regions_unexplored:steppe_shrub	Steppe Shrub
regions_unexplored:steppe_tall_grass	Steppe Tall Grass
regions_unexplored:stone_grass_block	Stone Grass Block
regions_unexplored:stripped_bamboo_log	Stripped Bamboo Log
regions_unexplored:stripped_baobab_log	Stripped Baobab Log
regions_unexplored:stripped_baobab_wood	Stripped Baobab Wood
regions_unexplored:stripped_blackwood_log	Stripped Blackwood Log
regions_unexplored:stripped_blackwood_wood	Stripped Blackwood Wood
regions_unexplored:stripped_blue_bioshroom_hyphae	Stripped Blue Bioshroom Hyphae
regions_unexplored:stripped_blue_bioshroom_stem	Stripped Blue Bioshroom Stem
regions_unexplored:stripped_brimwood_log	Stripped Brimwood Log
regions_unexplored:stripped_brimwood_wood	Stripped Brimwood Wood
regions_unexplored:stripped_cobalt_log	Stripped Cobalt Log
regions_unexplored:stripped_cobalt_wood	Stripped Cobalt Wood
regions_unexplored:stripped_cypress_log	Stripped Cypress Log
regions_unexplored:stripped_cypress_wood	Stripped Cypress Wood
regions_unexplored:stripped_dead_log	Stripped Dead Log
regions_unexplored:stripped_dead_wood	Stripped Dead Wood
regions_unexplored:stripped_eucalyptus_log	Stripped Eucalyptus Log
regions_unexplored:stripped_eucalyptus_wood	Stripped Eucalyptus Wood
regions_unexplored:stripped_green_bioshroom_hyphae	Stripped Green Bioshroom Hyphae
regions_unexplored:stripped_green_bioshroom_stem	Stripped Green Bioshroom Stem
regions_unexplored:stripped_joshua_log	Stripped Joshua Log
regions_unexplored:stripped_joshua_wood	Stripped Joshua Wood
regions_unexplored:stripped_kapok_log	Stripped Kapok Log
regions_unexplored:stripped_kapok_wood	Stripped Kapok Wood
regions_unexplored:stripped_larch_log	Stripped Larch Log
regions_unexplored:stripped_larch_wood	Stripped Larch Wood
regions_unexplored:stripped_magnolia_log	Stripped Magnolia Log
regions_unexplored:stripped_magnolia_wood	Stripped Magnolia Wood
regions_unexplored:stripped_maple_log	Stripped Maple Log
regions_unexplored:stripped_maple_wood	Stripped Maple Wood
regions_unexplored:stripped_palm_log	Stripped Palm Log
regions_unexplored:stripped_palm_wood	Stripped Palm Wood
regions_unexplored:stripped_pine_log	Stripped Pine Log
regions_unexplored:stripped_pine_wood	Stripped Pine Wood
regions_unexplored:stripped_pink_bioshroom_hyphae	Stripped Pink Bioshroom Hyphae
regions_unexplored:stripped_pink_bioshroom_stem	Stripped Pink Bioshroom Stem
regions_unexplored:stripped_redwood_log	Stripped Redwood Log
regions_unexplored:stripped_redwood_wood	Stripped Redwood Wood
regions_unexplored:stripped_small_oak_log	Stripped Small Oak Log
regions_unexplored:stripped_socotra_log	Stripped Socotra Log
regions_unexplored:stripped_socotra_wood	Stripped Socotra Wood
regions_unexplored:stripped_willow_log	Stripped Willow Log
regions_unexplored:stripped_willow_wood	Stripped Willow Wood
regions_unexplored:stripped_wisteria_log	Stripped Wisteria Log
regions_unexplored:stripped_wisteria_wood	Stripped Wisteria Wood
regions_unexplored:stripped_yellow_bioshroom_hyphae	Stripped Yellow Bioshroom Hyphae
regions_unexplored:stripped_yellow_bioshroom_stem	Stripped Yellow Bioshroom Stem
regions_unexplored:tall_blue_bioshroom	Tall Blue Bioshroom
regions_unexplored:tall_cobalt_earlight	Tall Cobalt Earlight
regions_unexplored:tall_green_bioshroom	Tall Green Bioshroom
regions_unexplored:tall_hyacinth_stock	Tall Hyacinth Stock
regions_unexplored:tall_pink_bioshroom	Tall Pink Bioshroom
regions_unexplored:tall_yellow_bioshroom	Tall Yellow Bioshroom
regions_unexplored:tassel	Tassel
regions_unexplored:tsubaki	Tsubaki
regions_unexplored:viridescent_nylium	Viridescent Nylium
regions_unexplored:volcanic_ash	Volcanic Ash
regions_unexplored:waratah	Waratah
regions_unexplored:white_magnolia_flowers	White Magnolia Flowers
regions_unexplored:white_magnolia_leaves	White Magnolia Leaves
regions_unexplored:white_magnolia_sapling	White Magnolia Sapling
regions_unexplored:white_magnolia_shrub	White Magnolia Shrub
regions_unexplored:white_painted_planks	White Painted Planks
regions_unexplored:white_painted_slab	White Painted Slab
regions_unexplored:white_painted_stairs	White Painted Stairs
regions_unexplored:white_snowbelle	White Snowbelle
regions_unexplored:white_trillium	White Trillium
regions_unexplored:willow_boat	Willow Boat
regions_unexplored:willow_branch	Willow Branch
regions_unexplored:willow_button	Willow Button
regions_unexplored:willow_chest_boat	Willow Boat with Chest
regions_unexplored:willow_door	Willow Door
regions_unexplored:willow_fence	Willow Fence
regions_unexplored:willow_fence_gate	Willow Fence Gate
regions_unexplored:willow_hanging_sign	Willow Hanging Sign
regions_unexplored:willow_leaves	Willow Leaves
regions_unexplored:willow_log	Willow Log
regions_unexplored:willow_planks	Willow Planks
regions_unexplored:willow_pressure_plate	Willow Pressure Plate
regions_unexplored:willow_sapling	Willow Sapling
regions_unexplored:willow_shrub	Willow Shrub
regions_unexplored:willow_sign	Willow Sign
regions_unexplored:willow_slab	Willow Slab
regions_unexplored:willow_stairs	Willow Stairs
regions_unexplored:willow_trapdoor	Willow Trapdoor
regions_unexplored:willow_wood	Willow Wood
regions_unexplored:wilting_trillium	Wilting Trillium
regions_unexplored:windswept_grass	Windswept Grass
regions_unexplored:wisteria_boat	Wisteria Boat
regions_unexplored:wisteria_branch	Wisteria Branch
regions_unexplored:wisteria_button	Wisteria Button
regions_unexplored:wisteria_chest_boat	Wisteria Boat with Chest
regions_unexplored:wisteria_door	Wisteria Door
regions_unexplored:wisteria_fence	Wisteria Fence
